path	size_bytes	mtime	repo_signal	keep_reason
/data/data/com.termux/files/home/HP_PROJELERI/# Football Data and Metrics Encyclopedia.docx	15318	2026-01-26 22:35:41	no	
/data/data/com.termux/files/home/HP_PROJELERI/# HP Engine Otonom Futbol Analiz Sistemi.docx	17748	2026-01-20 22:08:13	no	
/data/data/com.termux/files/home/HP_PROJELERI/26.11.2025 - Galatasaray - Players fitness (1).xlsx	9587	2025-11-26 22:11:17	no	
/data/data/com.termux/files/home/HP_PROJELERI/26.11.2025 - Galatasaray - Players fitness ucl 5 maÃ§ maÃ§ baÅŸÄ± ortalama.xlsx	11409	2025-11-26 22:10:35	no	
/data/data/com.termux/files/home/HP_PROJELERI/26.11.2025 - Galatasaray - Players fitness.xlsx	11637	2025-11-26 22:11:03	no	
/data/data/com.termux/files/home/HP_PROJELERI/26.11.2025 - Galatasaray - Team fitness (1).xlsx	7392	2025-11-26 22:10:16	no	
/data/data/com.termux/files/home/HP_PROJELERI/26.11.2025 - Galatasaray - Team fitness.xlsx	9398	2025-11-26 22:09:47	no	
/data/data/com.termux/files/home/HP_PROJELERI/AdsÄ±z dokÃ¼man.docx	6484	2026-01-26 22:32:47	no	
/data/data/com.termux/files/home/HP_PROJELERI/DOC-20260126-WA0010..docx	18144	2026-01-26 22:44:33	no	
/data/data/com.termux/files/home/HP_PROJELERI/DOC-20260126-WA0011..docx	6840	2026-01-26 22:46:37	no	
/data/data/com.termux/files/home/HP_PROJELERI/Football Metrics Research Agent Prompt.docx	31248	2026-01-20 15:15:47	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analiz Sistemi AraÅŸtÄ±rma DosyasÄ±.docx	21483	2026-01-22 21:55:34	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analiz Sistemi GeliÅŸtirme AtlasÄ±.docx	29800	2026-01-24 14:55:51	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analiz Sistemi GeliÅŸtirme KaynaklarÄ±.docx	24345	2026-01-26 02:13:36	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analiz Sistemi Kurgusu.docx	6211736	2026-01-29 11:08:52	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analiz Sistemi Yol HaritasÄ±.docx	13694	2026-01-29 22:36:05	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Projesi KapsamlÄ± Uygulama Raporu.docx	6218404	2026-01-05 14:24:30	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Sistemi GeliÅŸtirme Yol HaritasÄ±.docx	22951	2026-01-29 14:53:28	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Sistemi GeliÅŸtirme.docx	23363	2026-01-26 02:18:21	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Sistemi Ä°Ã§in Derin Sorular.docx	28903	2026-01-28 21:32:43	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Ä°Ã§in Akademik Kaynak KÃ¼tÃ¼phanesi.docx	6211661	2026-01-03 12:26:48	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Ä°Ã§in Otonom Mekanizma TasarÄ±mÄ±.docx	6289230	2026-01-29 11:08:22	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi Åžablon ve GeliÅŸtirme Projesi.docx	6220718	2026-01-03 21:00:35	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi: Birey ve TakÄ±m EtkileÅŸimi.docx	24628	2026-01-28 12:10:20	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Analizi: Her Åžeyin Teorisi.docx	6223450	2025-12-26 02:08:43	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol FormasyonlarÄ± Ansiklopedisi OluÅŸturma.docx	27095	2026-01-26 02:54:18	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol MaÃ§Ä± Veri Analizi Raporu.docx	249503	2026-01-21 23:17:16	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Metrikleri AraÅŸtÄ±rma KapsamÄ±.docx	24518	2026-01-20 15:52:26	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Metrikleri Ontolojisi OluÅŸturma.docx	25079	2026-01-21 15:04:43	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Ontolojisi: Sistem, Felsefe, Oyuncu.docx	6225745	2026-01-08 02:10:09	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Taktikleri ve Veri Bilimi AraÅŸtÄ±rmasÄ±.docx	25830	2026-01-26 12:21:49	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol TakÄ±m Analizi AltyapÄ±sÄ± OluÅŸturma.docx	6214129	2026-01-15 17:16:44	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol TakÄ±m Analizi UstalÄ±k EÄŸitimi.docx	6216377	2026-01-14 17:49:07	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Veri Analizi Metodolojisi Derlemesi.docx	6212944	2026-01-14 03:33:00	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Veri Analizi Yol HaritasÄ±.docx	26266	2026-01-22 21:56:38	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Veri Analizi ve Matematiksel Modelleme.docx	21060	2026-01-26 23:01:01	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Veri Analizi ve Metrik GeliÅŸtirme Yol Harit....docx	23670	2026-01-15 18:33:46	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Veri Analizi ve Metrik GeliÅŸtirme Yol HaritasÄ±.docx	6213706	2026-01-15 20:13:12	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol Video Analizi Ä°Ã§in KapsamlÄ± Yol HaritasÄ±.docx	6219342	2025-12-25 23:44:00	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol ZekasÄ± Ekosistemi: hp Engine.docx	6217274	2026-01-16 03:01:17	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol zeka sistemi 1.docx	12685	2026-01-20 22:08:13	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbol zeka sistemi 2.docx	6782	2026-01-20 22:08:13	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbolcu Analizi Ä°Ã§in BaÄŸlamsal Mimari.docx	27608	2026-01-23 23:27:17	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbolu SÄ±fÄ±rdan Ã–ÄŸrenme AraÅŸtÄ±rma Dizisi.docx	6214286	2025-12-26 02:33:06	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbolun SayÄ±sal Matrix'ini Ã‡Ã¶zÃ¼mleme.docx	23502	2026-01-26 14:59:05	no	
/data/data/com.termux/files/home/HP_PROJELERI/Futbolun-matrixi. txt	21169	2026-01-26 15:00:32	no	
/data/data/com.termux/files/home/HP_PROJELERI/Galatasaray_vs_Atletico Madrid_features.json	2018	2026-01-19 18:28:26	no	
/data/data/com.termux/files/home/HP_PROJELERI/Galatasaray_vs_Atletico Madrid_matchup.csv	290	2026-01-19 18:28:26	no	
/data/data/com.termux/files/home/HP_PROJELERI/GeliÅŸmiÅŸ Futbol Analiz Sistemi(1).docx	13661	2026-01-26 22:35:41	no	
/data/data/com.termux/files/home/HP_PROJELERI/HP Engine Operasyonel Protokol.docx	8584	2026-01-25 14:27:16	no	
