ID;start;end;code;team;action;half;pos_x;pos_y
1;4.55;4.55;Start of the 1st half;;Start of the 1st half;1;;
2;5.55;17.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;14.26;30.86
3;5.55;17.55;75. Yahia Fofana (470003) - Uzun paslar;Caykur Rizespor (62850);Uzun paslar;1;14.26;30.86
4;70.55;82.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;12.83;33.62
5;312.55;324.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;27.05;32.41
6;323.55;335.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;9.36;49.79
7;345.55;357.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;15.22;27.54
8;426.55;438.55;1. Uğurcan Çakır (235597) - İsabetsiz Şutlar;Galatasaray (29205);İsabetsiz Şutlar;1;99.1;23.76
9;511.55;523.55;75. Yahia Fofana (470003) - Kurtarış;Caykur Rizespor (62850);Kurtarış;1;98.38;31.09
10;511.55;523.55;75. Yahia Fofana (470003) - Yakından isabetli şutlar;Caykur Rizespor (62850);Yakından isabetli şutlar;1;98.38;31.09
11;511.55;523.55;75. Yahia Fofana (470003) - İsabetli Şut;Caykur Rizespor (62850);İsabetli Şut;1;98.38;31.09
12;517.55;529.55;75. Yahia Fofana (470003) - Başarısız Uzun Toplar;Caykur Rizespor (62850);Başarısız Uzun Toplar;1;15.7;35.07
13;517.55;529.55;75. Yahia Fofana (470003) - İsabetsiz paslar;Caykur Rizespor (62850);İsabetsiz paslar;1;15.7;35.07
14;564.55;576.55;75. Yahia Fofana (470003) - Direkten dönen şutlar;Caykur Rizespor (62850);Direkten dönen şutlar;1;82.25;48.98
15;629.55;641.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;15.82;28.59
16;684.55;696.55;75. Yahia Fofana (470003) - Kurtarış;Caykur Rizespor (62850);Kurtarış;1;98.38;36.88
17;684.55;696.55;75. Yahia Fofana (470003) - Yakından isabetli şutlar;Caykur Rizespor (62850);Yakından isabetli şutlar;1;98.38;36.88
18;684.55;696.55;75. Yahia Fofana (470003) - İsabetli Şut;Caykur Rizespor (62850);İsabetli Şut;1;98.38;36.88
19;727.55;739.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;23.46;35.85
20;727.55;739.55;75. Yahia Fofana (470003) - Uzun paslar;Caykur Rizespor (62850);Uzun paslar;1;23.46;35.85
21;737.55;749.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;6.14;22.94
22;755.55;767.55;1. Uğurcan Çakır (235597) - Paslar adresi bulanlar;Galatasaray (29205);Paslar adresi bulanlar;1;5.66;27.94
23;822.55;834.55;75. Yahia Fofana (470003) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;14.74;33.88
24;842.55;854.55;1. Uğurcan Çakır (235597) - Kurtarış;Galatasaray (29205);Kurtarış;1;86.08;17.05
