ID;start;end;code;action;half;pos_x;pos_y
1;4.55;4.55;Start of the 1st half;Start of the 1st half;1;;
2;4.55;10.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;52.62;33.88
3;4.55;10.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;52.62;33.88
4;4.55;13.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;28.84;33.75
5;4.55;13.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;28.84;33.75
6;4.55;45.55;Caykur Rizespor (62850) - Set Hücumları;Set Hücumları;1;52.62;33.88
7;5.55;17.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;14.26;30.86
8;5.55;17.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;14.26;30.86
9;5.55;17.55;Caykur Rizespor (62850) - Uzun Kale Vuruşları (40+ mt);Uzun Kale Vuruşları (40+ mt);1;14.26;30.86
10;5.55;17.55;Caykur Rizespor (62850) - Uzun paslar;Uzun paslar;1;14.26;30.86
11;5.55;17.55;Caykur Rizespor (62850) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;14.26;30.86
12;8.55;20.55;Galatasaray (29205) - Başarılı hava topu mücadeleleri;Başarılı hava topu mücadeleleri;1;38.64;34.64
13;8.55;20.55;Galatasaray (29205) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;38.64;34.64
14;8.55;20.55;Caykur Rizespor (62850) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;38.64;34.64
15;8.55;20.55;Galatasaray (29205) - Başarısız İleri Paslar;Başarısız İleri Paslar;1;38.64;34.64
16;8.55;20.55;Galatasaray (29205) - Başarısız İlerletici Paslar;Başarısız İlerletici Paslar;1;38.64;34.64
17;8.55;20.55;Caykur Rizespor (62850) - Kaybedilen hava topu mücadeleleri;Kaybedilen hava topu mücadeleleri;1;38.64;34.64
18;8.55;20.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;38.64;34.64
19;8.55;20.55;Galatasaray (29205) - İsabetsiz paslar;İsabetsiz paslar;1;38.64;34.64
20;11.55;23.55;Caykur Rizespor (62850) - Başarılı hava topu mücadeleleri;Başarılı hava topu mücadeleleri;1;47.84;35.07
21;11.55;23.55;Caykur Rizespor (62850) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;47.84;35.07
22;11.55;23.55;Galatasaray (29205) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;47.84;35.07
23;11.55;23.55;Galatasaray (29205) - Kaybedilen hava topu mücadeleleri;Kaybedilen hava topu mücadeleleri;1;47.84;35.07
24;11.55;23.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;47.84;35.07
25;11.55;23.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;47.84;35.07
26;14.55;26.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;47.6;49.27
27;14.55;26.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;47.6;49.27
28;16.55;28.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;50.35;43.74
29;16.55;28.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;50.35;43.74
30;18.55;30.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;55.25;61.89
31;18.55;30.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;55.25;61.89
32;20.55;32.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;43.06;60.97
33;20.55;32.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;43.06;60.97
34;20.55;32.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;43.06;60.97
35;22.55;34.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;50.71;55.97
36;22.55;34.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;53.69;63.2
37;22.55;34.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;50.71;55.97
38;22.55;34.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;53.69;63.2
39;22.55;34.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;50.71;55.97
40;22.55;34.55;Caykur Rizespor (62850) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;50.71;55.97
41;24.55;36.55;Caykur Rizespor (62850) - Başarısız İleri Paslar;Başarısız İleri Paslar;1;67.08;64.13
42;24.55;36.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;67.08;64.13
43;24.55;36.55;Caykur Rizespor (62850) - İsabetsiz paslar;İsabetsiz paslar;1;67.08;64.13
44;25.55;37.55;Galatasaray (29205) - Başarısız Uzun Toplar;Başarısız Uzun Toplar;1;33.74;10.71
45;25.55;37.55;Galatasaray (29205) - Başarısız İleri Paslar;Başarısız İleri Paslar;1;33.74;10.71
46;25.55;37.55;Galatasaray (29205) - Başarısız İlerletici Paslar;Başarısız İlerletici Paslar;1;33.74;10.71
47;25.55;37.55;Galatasaray (29205) - Uzun Kale Vuruşları (40+ mt);Uzun Kale Vuruşları (40+ mt);1;33.74;10.71
48;25.55;37.55;Galatasaray (29205) - İsabetsiz paslar;İsabetsiz paslar;1;33.74;10.71
49;28.55;40.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;36.37;31.38
50;28.55;40.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;36.37;31.38
51;33.55;45.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;33.5;3.51
52;33.55;45.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;33.5;3.51
53;33.55;45.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;33.5;3.51
54;33.55;45.55;Caykur Rizespor (62850) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;33.5;3.51
55;36.55;48.55;Galatasaray (29205) - Başarılı Top Kapma;Başarılı Top Kapma;1;69.11;5.35
56;36.55;48.55;Galatasaray (29205) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;69.11;5.35
57;36.55;48.55;Caykur Rizespor (62850) - Başarısız Driplingler;Başarısız Driplingler;1;69.11;5.35
58;36.55;48.55;Caykur Rizespor (62850) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;69.11;5.35
59;48.55;60.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;79.03;0.0
60;48.55;60.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;79.03;0.0
61;48.55;60.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;79.03;0.0
62;49.55;61.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;85.36;5.35
63;49.55;61.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;85.36;5.35
64;50.55;62.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;79.74;2.46
65;50.55;62.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;79.74;2.46
66;52.55;61.55;Caykur Rizespor (62850) - Set Hücumları;Set Hücumları;1;79.03;0.0
67;52.55;64.55;Caykur Rizespor (62850) - Başarısız Ceza Sahasına Paslar;Başarısız Ceza Sahasına Paslar;1;74.84;9.69
68;52.55;64.55;Caykur Rizespor (62850) - Başarısız İleri Paslar;Başarısız İleri Paslar;1;74.84;9.69
69;52.55;64.55;Caykur Rizespor (62850) - Başarısız İlerletici Paslar;Başarısız İlerletici Paslar;1;74.84;9.69
70;52.55;64.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;74.84;9.69
71;52.55;64.55;Caykur Rizespor (62850) - İsabetsiz Ortalar;İsabetsiz Ortalar;1;74.84;9.69
72;52.55;64.55;Caykur Rizespor (62850) - İsabetsiz paslar;İsabetsiz paslar;1;74.84;9.69
73;53.55;65.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;12.23;30.96
74;53.55;65.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;12.23;30.96
75;53.55;65.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;12.23;30.96
76;55.55;67.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;26.45;34.64
77;55.55;67.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;26.45;34.64
78;55.55;67.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;26.45;34.64
79;58.55;70.55;Caykur Rizespor (62850) - Başarılı Top Kapma;Başarılı Top Kapma;1;37.21;38.46
80;58.55;70.55;Caykur Rizespor (62850) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;37.21;38.46
81;58.55;70.55;Galatasaray (29205) - Başarısız Driplingler;Başarısız Driplingler;1;37.21;38.46
82;58.55;70.55;Galatasaray (29205) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;37.21;38.46
83;59.55;71.55;Caykur Rizespor (62850) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;58.24;23.23
84;59.55;71.55;Galatasaray (29205) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;58.24;23.23
85;59.55;81.55;Caykur Rizespor (62850) - Set Hücumları;Set Hücumları;1;26.45;34.64
86;61.55;73.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;51.31;25.73
87;61.55;73.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;51.31;25.73
88;63.55;75.55;Caykur Rizespor (62850) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;40.91;32.83
89;63.55;75.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;40.91;32.83
90;64.55;76.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;39.83;45.59
91;64.55;76.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;39.83;45.59
92;70.55;82.55;Caykur Rizespor (62850) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;12.83;33.62
93;70.55;82.55;Caykur Rizespor (62850) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;12.83;33.62
94;70.55;82.55;Caykur Rizespor (62850) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;12.83;33.62
95;70.55;82.55;Caykur Rizespor (62850) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;12.83;33.62
96;73.55;85.55;Galatasaray (29205) - Başarılı İkili Mücadeleler;Başarılı İkili Mücadeleler;1;60.63;10.71
97;73.55;85.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;60.63;10.71
98;73.55;85.55;Caykur Rizespor (62850) - Başarısız İkili Mücadeleler;Başarısız İkili Mücadeleler;1;60.63;10.71
99;73.55;85.55;Galatasaray (29205) - Geri Kazanılan Toplar;Geri Kazanılan Toplar;1;60.63;10.71
100;73.55;85.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;60.63;10.71
101;73.55;85.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;60.63;10.71
102;73.55;85.55;Galatasaray (29205) - Rakip sahada geri kazanılan toplar;Rakip sahada geri kazanılan toplar;1;60.63;10.71
103;73.55;85.55;Caykur Rizespor (62850) - Top Kaybı;Top Kaybı;1;44.37;57.29
104;73.55;85.55;Caykur Rizespor (62850) - Top kayıpları / kendi yarı sahasında;Top kayıpları / kendi yarı sahasında;1;44.37;57.29
105;73.55;85.55;Galatasaray (29205) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;60.63;10.71
106;75.55;87.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;74.13;9.92
107;75.55;87.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;74.13;9.92
108;77.55;100.55;Galatasaray (29205) - Set Hücumları;Set Hücumları;1;60.63;10.71
109;78.55;90.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;70.3;11.24
110;78.55;90.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;70.3;11.24
111;78.55;90.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;70.3;11.24
112;78.55;90.55;Galatasaray (29205) - İsabetli İlerletici Paslar;İsabetli İlerletici Paslar;1;70.3;11.24
113;80.55;92.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;79.38;4.27
114;80.55;92.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;79.38;4.27
115;81.55;93.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;69.23;8.08
116;81.55;93.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;69.23;8.08
117;84.55;96.55;Galatasaray (29205) - Orta Mesafeli Kale Vuruşları (10-40 mt);Orta Mesafeli Kale Vuruşları (10-40 mt);1;55.73;12.03
118;84.55;96.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;55.73;12.03
119;87.55;99.55;Galatasaray (29205) - Kısa Kale Vuruşları (0-10 mt);Kısa Kale Vuruşları (0-10 mt);1;44.85;50.82
120;87.55;99.55;Galatasaray (29205) - Paslar adresi bulanlar;Paslar adresi bulanlar;1;44.85;50.82
121;90.55;102.55;Galatasaray (29205) - Başarılı İleri Paslar;Başarılı İleri Paslar;1;47.96;64.62
