team_raw,action,start,end,half,pos_x,pos_y,source_layer
Start of the 1st half,Start of the 1st half,4.55,4.55,1,,,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4.55,10.55,1,52.62,33.88,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,4.55,10.55,1,52.62,33.88,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4.55,13.55,1,28.84,33.75,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,4.55,13.55,1,28.84,33.75,(2)_timeline
Caykur Rizespor (62850),Set Hücumları,4.55,45.55,1,52.62,33.88,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,5.55,17.55,1,14.26,30.86,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,5.55,17.55,1,14.26,30.86,(2)_timeline
Caykur Rizespor (62850),Uzun Kale Vuruşları (40+ mt),5.55,17.55,1,14.26,30.86,(2)_timeline
Caykur Rizespor (62850),Uzun paslar,5.55,17.55,1,14.26,30.86,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,5.55,17.55,1,14.26,30.86,(2)_timeline
Galatasaray (29205),Başarılı hava topu mücadeleleri,8.55,20.55,1,38.64,34.64,(2)_timeline
Galatasaray (29205),Başarılı İkili Mücadeleler,8.55,20.55,1,38.64,34.64,(2)_timeline
Caykur Rizespor (62850),Başarısız İkili Mücadeleler,8.55,20.55,1,38.64,34.64,(2)_timeline
Galatasaray (29205),Başarısız İleri Paslar,8.55,20.55,1,38.64,34.64,(2)_timeline
Galatasaray (29205),Başarısız İlerletici Paslar,8.55,20.55,1,38.64,34.64,(2)_timeline
Caykur Rizespor (62850),Kaybedilen hava topu mücadeleleri,8.55,20.55,1,38.64,34.64,(2)_timeline
Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),8.55,20.55,1,38.64,34.64,(2)_timeline
Galatasaray (29205),İsabetsiz paslar,8.55,20.55,1,38.64,34.64,(2)_timeline
Caykur Rizespor (62850),Başarılı hava topu mücadeleleri,11.55,23.55,1,47.84,35.07,(2)_timeline
Caykur Rizespor (62850),Başarılı İkili Mücadeleler,11.55,23.55,1,47.84,35.07,(2)_timeline
Galatasaray (29205),Başarısız İkili Mücadeleler,11.55,23.55,1,47.84,35.07,(2)_timeline
Galatasaray (29205),Kaybedilen hava topu mücadeleleri,11.55,23.55,1,47.84,35.07,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),11.55,23.55,1,47.84,35.07,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,11.55,23.55,1,47.84,35.07,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),14.55,26.55,1,47.6,49.27,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,14.55,26.55,1,47.6,49.27,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),16.55,28.55,1,50.35,43.74,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,16.55,28.55,1,50.35,43.74,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),18.55,30.55,1,55.25,61.89,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,18.55,30.55,1,55.25,61.89,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,20.55,32.55,1,43.06,60.97,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),20.55,32.55,1,43.06,60.97,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,20.55,32.55,1,43.06,60.97,(2)_timeline
Caykur Rizespor (62850),Başarılı İleri Paslar,22.55,34.55,1,50.71,55.97,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),22.55,34.55,1,53.69,63.2,(2)_timeline
Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),22.55,34.55,1,50.71,55.97,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,22.55,34.55,1,53.69,63.2,(2)_timeline
Caykur Rizespor (62850),Paslar adresi bulanlar,22.55,34.55,1,50.71,55.97,(2)_timeline
Caykur Rizespor (62850),İsabetli İlerletici Paslar,22.55,34.55,1,50.71,55.97,(2)_timeline
Caykur Rizespor (62850),Başarısız İleri Paslar,24.55,36.55,1,67.08,64.13,(2)_timeline
Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),24.55,36.55,1,67.08,64.13,(2)_timeline
Caykur Rizespor (62850),İsabetsiz paslar,24.55,36.55,1,67.08,64.13,(2)_timeline
