id,team,action,start,end,half,pos_x,pos_y
1,Start of the 1st half,Start of the 1st half,4.55,4.55,1,,
2,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4.55,10.55,1,52.62,33.88
3,Caykur Rizespor (62850),Paslar adresi bulanlar,4.55,10.55,1,52.62,33.88
4,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),4.55,13.55,1,28.84,33.75
5,Caykur Rizespor (62850),Paslar adresi bulanlar,4.55,13.55,1,28.84,33.75
6,Caykur Rizespor (62850),Set Hücumları,4.55,45.55,1,52.62,33.88
7,Caykur Rizespor (62850),Başarılı İleri Paslar,5.55,17.55,1,14.26,30.86
8,Caykur Rizespor (62850),Paslar adresi bulanlar,5.55,17.55,1,14.26,30.86
9,Caykur Rizespor (62850),Uzun Kale Vuruşları (40+ mt),5.55,17.55,1,14.26,30.86
10,Caykur Rizespor (62850),Uzun paslar,5.55,17.55,1,14.26,30.86
11,Caykur Rizespor (62850),İsabetli İlerletici Paslar,5.55,17.55,1,14.26,30.86
12,Galatasaray (29205),Başarılı hava topu mücadeleleri,8.55,20.55,1,38.64,34.64
13,Galatasaray (29205),Başarılı İkili Mücadeleler,8.55,20.55,1,38.64,34.64
14,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,8.55,20.55,1,38.64,34.64
15,Galatasaray (29205),Başarısız İleri Paslar,8.55,20.55,1,38.64,34.64
16,Galatasaray (29205),Başarısız İlerletici Paslar,8.55,20.55,1,38.64,34.64
17,Caykur Rizespor (62850),Kaybedilen hava topu mücadeleleri,8.55,20.55,1,38.64,34.64
18,Galatasaray (29205),Orta Mesafeli Kale Vuruşları (10-40 mt),8.55,20.55,1,38.64,34.64
19,Galatasaray (29205),İsabetsiz paslar,8.55,20.55,1,38.64,34.64
20,Caykur Rizespor (62850),Başarılı hava topu mücadeleleri,11.55,23.55,1,47.84,35.07
21,Caykur Rizespor (62850),Başarılı İkili Mücadeleler,11.55,23.55,1,47.84,35.07
22,Galatasaray (29205),Başarısız İkili Mücadeleler,11.55,23.55,1,47.84,35.07
23,Galatasaray (29205),Kaybedilen hava topu mücadeleleri,11.55,23.55,1,47.84,35.07
24,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),11.55,23.55,1,47.84,35.07
25,Caykur Rizespor (62850),Paslar adresi bulanlar,11.55,23.55,1,47.84,35.07
26,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),14.55,26.55,1,47.6,49.27
27,Caykur Rizespor (62850),Paslar adresi bulanlar,14.55,26.55,1,47.6,49.27
28,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),16.55,28.55,1,50.35,43.74
29,Caykur Rizespor (62850),Paslar adresi bulanlar,16.55,28.55,1,50.35,43.74
30,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),18.55,30.55,1,55.25,61.89
31,Caykur Rizespor (62850),Paslar adresi bulanlar,18.55,30.55,1,55.25,61.89
32,Caykur Rizespor (62850),Başarılı İleri Paslar,20.55,32.55,1,43.06,60.97
33,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),20.55,32.55,1,43.06,60.97
34,Caykur Rizespor (62850),Paslar adresi bulanlar,20.55,32.55,1,43.06,60.97
35,Caykur Rizespor (62850),Başarılı İleri Paslar,22.55,34.55,1,50.71,55.97
36,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),22.55,34.55,1,53.69,63.2
37,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),22.55,34.55,1,50.71,55.97
38,Caykur Rizespor (62850),Paslar adresi bulanlar,22.55,34.55,1,53.69,63.2
39,Caykur Rizespor (62850),Paslar adresi bulanlar,22.55,34.55,1,50.71,55.97
40,Caykur Rizespor (62850),İsabetli İlerletici Paslar,22.55,34.55,1,50.71,55.97
41,Caykur Rizespor (62850),Başarısız İleri Paslar,24.55,36.55,1,67.08,64.13
42,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),24.55,36.55,1,67.08,64.13
43,Caykur Rizespor (62850),İsabetsiz paslar,24.55,36.55,1,67.08,64.13
44,Galatasaray (29205),Başarısız Uzun Toplar,25.55,37.55,1,33.74,10.71
45,Galatasaray (29205),Başarısız İleri Paslar,25.55,37.55,1,33.74,10.71
46,Galatasaray (29205),Başarısız İlerletici Paslar,25.55,37.55,1,33.74,10.71
47,Galatasaray (29205),Uzun Kale Vuruşları (40+ mt),25.55,37.55,1,33.74,10.71
48,Galatasaray (29205),İsabetsiz paslar,25.55,37.55,1,33.74,10.71
49,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),28.55,40.55,1,36.37,31.38
50,Caykur Rizespor (62850),Paslar adresi bulanlar,28.55,40.55,1,36.37,31.38
51,Caykur Rizespor (62850),Başarılı İleri Paslar,33.55,45.55,1,33.5,3.51
52,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),33.55,45.55,1,33.5,3.51
53,Caykur Rizespor (62850),Paslar adresi bulanlar,33.55,45.55,1,33.5,3.51
54,Caykur Rizespor (62850),İsabetli İlerletici Paslar,33.55,45.55,1,33.5,3.51
55,Galatasaray (29205),Başarılı Top Kapma,36.55,48.55,1,69.11,5.35
56,Galatasaray (29205),Başarılı İkili Mücadeleler,36.55,48.55,1,69.11,5.35
57,Caykur Rizespor (62850),Başarısız Driplingler,36.55,48.55,1,69.11,5.35
58,Caykur Rizespor (62850),Başarısız İkili Mücadeleler,36.55,48.55,1,69.11,5.35
59,Caykur Rizespor (62850),Başarılı İleri Paslar,48.55,60.55,1,79.03,0.0
60,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),48.55,60.55,1,79.03,0.0
61,Caykur Rizespor (62850),Paslar adresi bulanlar,48.55,60.55,1,79.03,0.0
62,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),49.55,61.55,1,85.36,5.35
63,Caykur Rizespor (62850),Paslar adresi bulanlar,49.55,61.55,1,85.36,5.35
64,Caykur Rizespor (62850),Kısa Kale Vuruşları (0-10 mt),50.55,62.55,1,79.74,2.46
65,Caykur Rizespor (62850),Paslar adresi bulanlar,50.55,62.55,1,79.74,2.46
66,Caykur Rizespor (62850),Set Hücumları,52.55,61.55,1,79.03,0.0
67,Caykur Rizespor (62850),Başarısız Ceza Sahasına Paslar,52.55,64.55,1,74.84,9.69
68,Caykur Rizespor (62850),Başarısız İleri Paslar,52.55,64.55,1,74.84,9.69
69,Caykur Rizespor (62850),Başarısız İlerletici Paslar,52.55,64.55,1,74.84,9.69
70,Caykur Rizespor (62850),Orta Mesafeli Kale Vuruşları (10-40 mt),52.55,64.55,1,74.84,9.69
71,Caykur Rizespor (62850),İsabetsiz Ortalar,52.55,64.55,1,74.84,9.69
72,Caykur Rizespor (62850),İsabetsiz paslar,52.55,64.55,1,74.84,9.69
73,Galatasaray (29205),Başarılı İleri Paslar,53.55,65.55,1,12.23,30.96
