ID;start;end;code;team;action;half;pos_x;pos_y
1;4.55;4.55;Start of the 1st half;;Start of the 1st half;1;;
2;4.55;10.55;9. Ali Sowe (1389884) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;52.62;33.88
3;4.55;13.55;3. Samet Akaydin (26800) - Paslar adresi bulanlar;Caykur Rizespor (62850);Paslar adresi bulanlar;1;28.84;33.75
4;4.55;45.55;3. Samet Akaydin (26800) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
5;4.55;45.55;4. Attila Mocsi (981916) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
6;4.55;45.55;5. Casper Højer (628857) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
7;4.55;45.55;7. Valentin Mihăilă (967060) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
8;4.55;45.55;9. Ali Sowe (1389884) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
9;4.55;45.55;14. Taylan Antalyalı (74432) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
10;4.55;45.55;20. Qazim Laçi (808862) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
11;4.55;45.55;37. Taha Şahin (1275421) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
12;4.55;45.55;54. Mithat Pala (1108032) - Set Hücumu Oyunu;Caykur Rizespor (62850);Set Hücumu Oyunu;1;52.62;33.88
13;8.55;20.55;42. Abdülkerim Bardakcı (126526) - Başarılı hava topu mücadeleleri;Galatasaray (29205);Başarılı hava topu mücadeleleri;1;38.64;34.64
14;8.55;20.55;42. Abdülkerim Bardakcı (126526) - Başarılı İkili Mücadeleler;Galatasaray (29205);Başarılı İkili Mücadeleler;1;38.64;34.64
