№,Oyuncu,Takım,Index,Oynadığı süre,Pozisyon,Gol,Gol pasları,Gollük hatalar,Mistakes,"Gol pozisyonları, başarılı","Chances successful, %",Gol Pozisyonları,Gol hücumlarında oyun,Şut,İsabetli Şut,Sarı Kartlar,Kırmızı Kartlar,Faul,Yapılan Fauller,Paslar,"Paslar adresi bulanlar, %",Kilit Pas,"Key passes accurate, %",Orta,"İsabetli ortalar, %",Progressive passes,"Progressive passes accurate, %",Progressive open passes,Uzun paslar,"Uzun paslar, isabetli, %",Super long passes,"Super long passes accurate, %",Passes forward (120 degrees) to the final third,"Passes forward (120 degrees) to the final third accurate, %",Ceza sahasına orta,"Passes into the penalty box accurate, %",Passes for a shot,İkili mücadeleler,Başarılı ikili mücadele %,Savunmada ikili mücadeleler,"Savunmada kazanılan ikili mücadele, %",Hücumda ikili mücadeleler,"Hücumda başarılı ikili mücadele, %",Havada Hamleler,"Başarılı hava topu mücadelesi, %",Driplingler,"Başarılı driplingleri, %",Dribbling in the final third,"Dribbling in the final third successful, %",Top Kapma,"Başarılı Top Kapma, %",Pas Arası,Sahipsiz top kapma,xG,Tüm Hareketler,Actions successful,"Actions successful, %",Başarısız eylemler,Rakip ceza sahasında hareketler,Actions in opponent box successful,"Actions in opponent box successful, %","Shots on target, %",İsabetsiz Şutlar,Engellenen Şutlar,Header,Direkten dönen şutlar,Final third entries,Final third entries through pass,"Final third entries through pass, % of total",Final third entries through carry,"Final third entries through carry, % of total",Top kayıpları,Top kayıpları / kendi yarı sahasında,Lost balls after passes,Bireysel top kayıpları,Challenges unsuccessful,Dribbles unsuccessful,Kötü top kontrolü,Ofsaytlar,Ball recoveries,Rakip sahada geri kazanılan toplar,Driplingler,Paslar adresi bulanlar,Key passes accurate,Crosses accurate,Progressive passes accurate,Uzun paslar - isabetli,Super long passes accurate,Passes forward (120 degrees) to the final third accurate,Ceza sahasına / İsabetli,Challenges won,Savunmada başarılı ikili mücadeleler,Hücumda ikili mücadele / Başarılı,Başarılı hava topu mücadeleleri,Başarılı driplingler,Dribbling in the final third successful,Başarılı Top Kapma,xA,Şut başına xG,Gol başına xG,xG dönüştürme,Pozisyonlar,xGT,xGOPP,NxG,xGD,xGDPS
8,Gabriel Sara,Galatasaray,239,94,CAM,2,-,-,-,2,1,1,2,3,2,-,-,-,-,76,0.8300000000000001,2,0.5,3,0.33,15,0.6,8,3,0.67,-,-,10,0.7000000000000001,11,0.45,2,8,0.63,2,0.5,6,0.67,1,1,3,1,1,1,1,1,3,5,0.35,97,80,0.8200000000000001,17,3,3,1,0.67,1,-,1,-,7,6,0.86,1,0.14,8,3,8,-,3,0,-,-,4,2,2,63,1,1,9,2,-,7,5,5,1,4,1,3,1,1,0.55,0.12,0.17,5.71,2,1.44,0.79,0.65,0.02,0.02
20,İlkay Gündoğan,Galatasaray,232,94,LCDM,-,2,-,-,-,0,2,2,2,-,-,-,-,1,64,0.9400000000000001,1,1,1,1,11,0.8200000000000001,8,-,-,-,-,6,0.8300000000000001,-,-,1,6,0.8300000000000001,5,0.8,1,1,1,1,1,1,-,-,2,1,3,3,0.48,79,72,0.91,7,3,1,0.33,0,2,-,-,-,5,5,1,-,0,2,1,2,-,1,0,-,-,4,2,1,60,1,1,9,-,-,5,-,5,4,1,1,1,-,2,0.48,0.24,-,0,1,1.44,0.79,0.65,-,-
72,Barış Kalaycı,Fatih Karagümrük,228,86,LM,1,-,-,-,1,1,-,1,2,2,-,-,1,2,21,0.81,1,0,-,-,1,1,-,1,1,-,-,-,-,2,0,-,13,0.54,5,0.4,8,0.63,-,-,3,1,1,1,4,0.25,6,2,0.22,47,37,0.79,10,3,3,1,1,-,-,-,-,2,-,0,2,1,2,-,-,2,6,0,-,-,3,-,2,17,-,-,1,1,-,-,-,7,2,5,-,3,1,1,-,0.11,0.22,4.55,1,0.59,1.34,-0.75,-,-
7,Roland Sallai,Galatasaray,228,71,RD,-,1,1,1,-,-,2,2,-,-,-,-,3,1,47,0.91,3,0.67,2,0.5,4,1,2,1,1,-,-,3,1,3,0.67,2,10,0.3,7,0.29,3,0.33,1,0,2,0.5,2,0.5,4,0.5,4,2,-,63,52,0.8300000000000001,11,3,2,0.67,-,-,-,-,-,2,2,1,-,0,3,-,1,2,7,1,-,-,3,1,-,43,2,1,4,1,-,3,2,3,2,1,-,1,1,2,0.41,-,-,-,-,1.34,0.53,0.81,0.14,0.07
42,Abdülkerim Bardakcı,Galatasaray,217,94,LCD,-,-,-,-,-,0,1,-,2,-,-,-,-,1,75,0.91,-,-,-,-,21,0.81,17,4,0.75,-,-,6,0.5,-,-,-,14,0.64,8,0.75,6,0.5,6,0.67,2,0.5,1,0,3,0.67,7,1,0.22,105,91,0.87,14,4,1,0.25,0,2,-,2,-,4,2,0.5,2,0.5,3,-,2,1,5,1,-,-,5,-,5,68,-,-,17,3,-,3,-,9,6,3,4,1,-,2,-,0.11,-,0,1,1.44,0.79,0.65,0.42,0.08
33,Çağtay Kurukalıp,Fatih Karagümrük,211,94,LD,-,-,-,-,-,-,-,-,-,-,-,-,2,3,39,0.87,-,-,2,0.5,4,0.75,2,1,1,-,-,5,1,3,0.33,-,13,0.62,7,0.71,6,0.5,3,0.67,5,0.6,1,0,2,1,13,5,-,72,62,0.86,10,-,-,-,-,-,-,-,-,2,2,1,-,0,4,1,4,-,5,2,-,-,5,-,2,34,-,1,3,1,-,5,1,8,5,3,2,3,-,2,-,-,-,-,-,0.79,1.44,-0.65,0.04,0.04
88,Kazımcan Karataş,Galatasaray,209,29,LD,-,-,-,-,-,-,1,-,-,-,-,-,1,1,19,0.84,1,1,2,0.5,5,1,5,1,1,-,-,1,1,4,0.5,1,7,0.5700000000000001,4,1,3,0,-,-,2,0,1,0,4,1,3,1,-,32,25,0.78,7,-,-,-,-,-,-,-,-,2,1,0.5,1,0.5,4,1,1,3,3,2,1,-,1,-,-,16,1,1,5,1,-,1,2,4,4,-,-,-,-,4,0.04,-,-,-,-,0.19,0.37,-0.18,-,-
17,Eren Elmalı,Galatasaray,204,29,RD,-,-,-,-,-,-,-,-,1,1,-,-,-,-,19,0.89,-,-,-,-,1,1,1,-,-,-,-,2,1,-,-,-,4,0.75,1,1,3,0.67,1,1,2,0.5,-,-,1,1,2,1,0.04,28,25,0.89,3,2,2,1,1,-,-,1,-,1,1,1,-,0,1,-,1,-,1,1,-,-,1,-,-,17,-,-,1,-,-,2,-,3,1,2,1,1,-,1,-,0.04,-,0,-,0.19,0.37,-0.18,-,-
45,Victor Osimhen,Galatasaray,201,80,CF,1,-,-,-,1,0.33,-,1,2,1,-,-,2,-,15,0.87,-,-,-,-,1,0,-,-,-,-,-,-,-,1,0,1,11,0.09,3,0.33,8,0,5,0,2,0,1,0,-,-,1,1,0.35,32,18,0.56,14,7,4,0.5700000000000001,0.5,-,1,-,-,-,-,-,-,-,10,3,2,8,10,2,1,-,2,-,1,13,-,-,-,-,-,-,-,1,1,-,-,-,-,-,0.03,0.18,0.35,2.86,3,1.34,0.59,0.75,-,-
6,Davinson Sánchez,Galatasaray,193,94,RCD,-,-,1,1,-,-,-,1,-,-,-,-,3,1,94,0.88,-,-,-,-,25,0.8,19,4,0.5,-,-,7,0.71,-,-,-,16,0.63,13,0.54,3,1,4,0.75,1,1,-,-,3,0.33,12,6,-,131,114,0.87,17,3,2,0.67,-,-,-,-,-,6,5,0.8300000000000001,1,0.17,5,2,5,-,6,0,-,-,9,1,2,83,-,-,20,2,-,5,-,10,7,3,3,1,-,1,-,-,-,-,-,1.44,0.79,0.65,0.12,0.04
