№,Oyuncu,Takım,Index,Oynadığı süre,Pozisyon,Gol,Gol pasları,Gollük hatalar,Mistakes,"Gol pozisyonları, başarılı","Chances successful, %",Gol Pozisyonları,Gol hücumlarında oyun,Şut,İsabetli Şut,Sarı Kartlar,Kırmızı Kartlar,Faul,Yapılan Fauller,Paslar,"Paslar adresi bulanlar, %",Kilit Pas,"Key passes accurate, %",Orta,"İsabetli ortalar, %",Progressive passes,"Progressive passes accurate, %",Progressive open passes,Uzun paslar,"Uzun paslar, isabetli, %",Super long passes,"Super long passes accurate, %",Passes forward (120 degrees) to the final third,"Passes forward (120 degrees) to the final third accurate, %",Ceza sahasına orta,"Passes into the penalty box accurate, %",Passes for a shot,İkili mücadeleler,Başarılı ikili mücadele %,Savunmada ikili mücadeleler,"Savunmada kazanılan ikili mücadele, %",Hücumda ikili mücadeleler,"Hücumda başarılı ikili mücadele, %",Havada Hamleler,"Başarılı hava topu mücadelesi, %",Driplingler,"Başarılı driplingleri, %",Dribbling in the final third,"Dribbling in the final third successful, %",Top Kapma,"Başarılı Top Kapma, %",Pas Arası,Sahipsiz top kapma,xG,Tüm Hareketler,Actions successful,"Actions successful, %",Başarısız eylemler,Rakip ceza sahasında hareketler,Actions in opponent box successful,"Actions in opponent box successful, %","Shots on target, %",İsabetsiz Şutlar,Engellenen Şutlar,Header,Direkten dönen şutlar,Final third entries,Final third entries through pass,"Final third entries through pass, % of total",Final third entries through carry,"Final third entries through carry, % of total",Top kayıpları,Top kayıpları / kendi yarı sahasında,Lost balls after passes,Bireysel top kayıpları,Challenges unsuccessful,Dribbles unsuccessful,Kötü top kontrolü,Ofsaytlar,Ball recoveries,Rakip sahada geri kazanılan toplar,Driplingler,Paslar adresi bulanlar,Key passes accurate,Crosses accurate,Progressive passes accurate,Uzun paslar - isabetli,Super long passes accurate,Passes forward (120 degrees) to the final third accurate,Ceza sahasına / İsabetli,Challenges won,Savunmada başarılı ikili mücadeleler,Hücumda ikili mücadele / Başarılı,Başarılı hava topu mücadeleleri,Başarılı driplingler,Dribbling in the final third successful,Başarılı Top Kapma,xA,Şut başına xG,Gol başına xG,xG dönüştürme,Pozisyonlar,xGT,xGOPP,NxG,xGD,xGDPS
21,Christopher Operi,İstanbul Başakşehir FK,231,97,LD,-,-,-,-,-,-,-,2,1,-,-,-,2,2,59,0.85,-,-,1,0,8,0.75,6,-,-,-,-,-,-,1,1,-,14,0.71,6,0.67,8,0.75,1,1,7,0.71,-,-,1,1,6,5,0.08,87,73,0.84,14,1,-,0,0,-,1,-,-,1,-,0,1,1,3,2,3,-,4,2,-,-,4,1,1,50,-,-,6,-,-,-,1,10,4,6,1,5,-,1,0.16,0.08,-,0,-,1.22,0.51,0.71,0.06,0.06
25,Amine Harit,İstanbul Başakşehir FK,230,91,LM,-,-,-,-,1,0.5,3,1,2,-,-,-,2,2,43,0.91,-,-,-,-,9,0.89,8,-,-,-,-,5,0.8,1,1,1,22,0.77,4,0.25,18,0.89,1,1,13,0.92,9,0.89,3,0.33,4,2,0.1,86,72,0.84,14,5,3,0.6,0,1,-,-,1,10,4,0.4,6,0.6,8,1,3,5,5,1,3,1,3,-,10,39,-,-,8,-,-,4,1,17,1,16,1,12,8,1,0.12,0.05,-,0,2,0.88,0.35,0.53,-,-
10,Nuno Da Costa,İstanbul Başakşehir FK,218,25,RM,1,-,-,-,1,1,1,1,1,1,-,-,-,-,7,0.86,1,0,1,1,-,-,-,-,-,-,-,-,-,1,1,1,13,0.46,3,0.67,10,0.4,6,0.5,3,0.67,1,1,-,-,-,1,0.18,23,14,0.61,9,1,1,1,1,-,-,-,-,-,-,-,-,-,7,3,1,6,7,1,1,-,2,-,-,6,-,1,-,-,-,-,1,6,2,4,3,2,1,-,0.34,0.18,0.18,5.56,1,0.54,0.19,0.35,-,-
14,Eldor Shomurodov,İstanbul Başakşehir FK,209,97,RCF,-,1,-,-,1,1,2,2,2,2,-,-,-,-,33,0.76,-,-,1,1,5,0.8,4,2,1,-,-,4,0.75,2,0.5,1,11,0.45,3,0.33,8,0.5,2,0,4,0.75,2,1,1,1,-,2,0.18,51,37,0.73,14,3,2,0.67,1,-,-,-,-,7,5,0.71,2,0.29,8,1,5,3,6,1,-,-,-,-,3,25,-,1,4,2,-,3,1,5,1,4,-,3,2,1,0.3,0.09,-,0,1,1.22,0.51,0.71,-,-
5,Léo Duarte,İstanbul Başakşehir FK,203,97,RCD,-,-,-,1,-,-,-,-,-,-,-,-,2,-,51,0.88,-,-,-,-,6,0.8300000000000001,5,-,-,-,-,4,1,-,-,-,10,0.7000000000000001,8,0.75,2,0.5,3,0.33,1,1,-,-,1,1,8,5,-,76,67,0.88,9,1,-,0,-,-,-,-,-,3,3,1,-,0,4,3,4,-,3,0,-,-,12,1,2,45,-,-,5,-,-,4,-,7,6,1,1,1,-,1,-,-,-,-,-,1.22,0.51,0.71,0.02,0.02
8,Olivier Kemen,İstanbul Başakşehir FK,202,97,RCDM,-,-,-,-,-,0,1,-,3,1,-,-,2,1,43,0.91,1,1,1,0,3,1,3,1,1,-,-,1,1,3,0.33,-,3,0.67,2,0.5,1,1,-,-,1,1,1,1,1,1,1,2,0.2,55,47,0.85,8,1,-,0,0.33,2,-,1,-,4,3,0.75,1,0.25,2,1,2,-,1,0,1,-,1,-,2,39,1,-,3,1,-,1,1,2,1,1,-,1,1,1,0.12,0.07,-,0,1,1.22,0.51,0.71,-,-
20,Umut Güneş,İstanbul Başakşehir FK,199,83,LCDM,-,-,-,-,-,-,-,-,-,-,-,-,2,2,48,0.9400000000000001,-,-,-,-,8,0.88,7,1,1,-,-,6,0.8300000000000001,-,-,-,6,0.67,5,0.6,1,1,3,0.67,1,1,-,-,-,-,1,3,-,61,56,0.92,5,-,-,-,-,-,-,-,-,8,6,0.75,2,0.25,2,-,2,-,2,0,-,-,1,1,3,45,-,-,7,1,-,5,-,4,3,1,2,1,-,-,-,-,-,-,-,0.7,0.32,0.38,-,-
9,Davie Selke,İstanbul Başakşehir FK,196,71,LCF,1,-,-,-,1,0.5,1,1,1,1,-,-,1,-,10,0.6,2,0.5,-,-,1,0,-,-,-,-,-,1,1,2,0.5,2,3,0.33,-,-,3,0.33,3,0.33,-,-,-,-,-,-,1,-,0.75,15,9,0.6,6,3,2,0.67,1,-,-,-,-,1,1,1,-,0,5,2,3,2,2,-,-,-,-,-,-,6,1,-,-,-,-,1,1,1,-,1,1,-,-,-,0.24,0.75,0.75,1.33,2,0.68,0.32,0.36,-,-
6,Onur Bulut,İstanbul Başakşehir FK,192,49,RD,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,0.8200000000000001,-,-,2,0,6,0.67,4,-,-,-,-,-,-,2,0.5,1,3,0.67,2,1,1,0,-,-,1,0,1,0,-,-,5,3,-,46,39,0.85,7,-,-,-,-,-,-,-,-,1,1,1,-,0,4,-,3,1,1,1,-,-,3,1,1,28,-,-,4,-,-,-,1,2,2,-,-,-,-,-,0.38,-,-,-,-,0.76,0.31,0.45,-,-
42,Ömer Ali Şahiner,İstanbul Başakşehir FK,191,48,RD,-,-,-,1,-,-,-,1,-,-,-,-,3,-,23,0.96,-,-,1,1,2,0.5,-,1,1,1,1,3,0.67,2,1,-,6,0.5,5,0.4,1,1,3,0.33,-,-,-,-,2,0.5,3,3,-,37,33,0.89,4,-,-,-,-,-,-,-,-,1,1,1,-,0,-,-,-,-,3,-,-,-,3,1,1,22,-,1,1,1,1,2,2,3,2,1,1,-,-,1,-,-,-,-,-,0.46,0.2,0.26,-,-
