donor_source	donor_path_or_title	donor_role	authority_role	product_use	promotion_status
Dropbox	A03_Ontology_for_Common_Data_Format_on_Football_Data_Analytics_CEUR_paper56.pdf	ontology_interoperability_support	research_archive	canonical_schema_design_support	REFERENCE_ONLY
Google_Drive	HPFA Product Engineering Architecture Decision V1	governance_support	documentation_authority	pipeline_and_lifecycle_policy	REFERENCE_ONLY
Google_Drive	HPFA GitHub Release Readiness Gap V1	release_readiness_support	documentation_authority	canonical_layout_gap_context	REFERENCE_ONLY
GitHub_HP_Motor	hp_motor/ontology/phases.yaml	phase_taxonomy_donor	code_donor	phase_engine_support	INSPECT_ONLY
GitHub_HP_Motor	hp_motor/segmentation/phase_tagger.py	phase_logic_donor	code_donor	phase_engine_support	INSPECT_ONLY
GitHub_HP_Motor	hp_motor/segmentation/sequences.py	sequence_logic_donor	code_donor	sequence_engine_support	INSPECT_ONLY
GitHub_HP_Motor	hp_motor/library/registry/metric_registry.json	metric_registry_donor	code_donor	registry_audit_support	INSPECT_ONLY
GitHub_HP_Engine	engine/metrics_impl/progression.py	progression_metric_donor	code_donor	metric_primitive_support	INSPECT_ONLY
GitHub_HP_Engine	HP_ENGINE/sequence/live/hp_sequence_engine.py	sequence_engine_donor	code_donor	sequence_engine_support	INSPECT_ONLY
GitHub_HP_Engine	HP_ENGINE/semantic_gate/live/hp_semantic_gate.py	claim_gate_donor	code_donor	claim_gate_support	INSPECT_ONLY
GitHub_HP_Engine	HP_ENGINE/semantic_gate/live/claim_runtime_v1.py	claim_runtime_donor	code_donor	claim_gate_support	INSPECT_ONLY
GitHub_HP_Engine	registry/metrics_core_v1.yaml	metric_registry_donor	code_donor	registry_audit_support	INSPECT_ONLY
