donor_repo	donor_path	donor_role	composite_target	product_module_target	promotion_status	required_gate
HP-Motor	hp_motor/ingestion/normalizers.py	ingestion_normalization_donor	canonical_ingest_composite_v1	core_spine	INSPECT_ONLY	canonical_ingest_candidate_spec
hpfa	configs/hpfa_canon/HPFA_Canonical_Event_Schema_v0.1.yaml	canonical_schema_donor	canonical_ingest_composite_v1	core_spine	INSPECT_ONLY	canonical_schema_review
HP-Motor	hp_motor/ontology/phases.yaml	phase_taxonomy_donor	phase_sequence_composite_v1	postmatch_phase_engine	INSPECT_ONLY	phase_taxonomy_review
HP-Motor	hp_motor/segmentation/phase_tagger.py	phase_logic_donor	phase_sequence_composite_v1	postmatch_phase_engine	INSPECT_ONLY	claim_boundary_review
HP-Motor	hp_motor/segmentation/sequences.py	sequence_logic_donor	phase_sequence_composite_v1	postmatch_sequence_engine	INSPECT_ONLY	sequence_contract_review
HP-Motor	tests/test_segmentation_smoke.py	test_pattern_donor	phase_sequence_composite_v1	postmatch_sequence_engine	INSPECT_ONLY	active_match_test_rewrite
HP-Engine	engine/metrics_impl/progression.py	progression_metric_donor	metric_primitive_composite_v1	metric_primitive_library	INSPECT_ONLY	metric_no_claim_test
HP-Engine	HP_ENGINE/sequence/live/hp_sequence_engine.py	sequence_engine_donor	phase_sequence_composite_v1	postmatch_sequence_engine	INSPECT_ONLY	active_match_sequence_test
HP-Engine	HP_ENGINE/semantic_gate/live/hp_semantic_gate.py	claim_gate_donor	claim_abstain_gate_composite_v1	claim_gate_engine	INSPECT_ONLY	forbidden_truth_test
HP-Engine	HP_ENGINE/semantic_gate/live/claim_runtime_v1.py	claim_runtime_donor	claim_abstain_gate_composite_v1	claim_gate_engine	INSPECT_ONLY	abstain_gate_test
HP-Engine	registry/metrics_core_v1.yaml	metric_registry_donor	registry_audit_composite_v1	registry_audit_engine	INSPECT_ONLY	registry_gap_test
