label,source_roles,semantic_role,action_family,outcome,direction,distance,zone,context,relation,restart_type,shot_result,action_subtype,object_action_family,progression,key_action,terminal_outcome,card_type,downstream_eligibility,semantics_decision,review_status,rule_id
Passes accurate,,ACTION_ANCHOR,PASS,SUCCESS,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_passes_accurate
Passes forward accurate,,ACTION_ANCHOR,PASS,SUCCESS,FORWARD,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_passes_forward_accurate
Inaccurate passes,,ACTION_ANCHOR,PASS,FAILURE,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_inaccurate_passes
Incomplete passes forward,,ACTION_ANCHOR,PASS,FAILURE,FORWARD,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_incomplete_passes_forward
Progressive passes accurate,,ACTION_ANCHOR,PASS,SUCCESS,,,,,,,,,,PROGRESSIVE_CANDIDATE,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_progressive_passes_accurate
Incomplete progressive passes,,ACTION_ANCHOR,PASS,FAILURE,,,,,,,,,,PROGRESSIVE_CANDIDATE,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_incomplete_progressive_passes
Passes into the penalty box accurate,,ACTION_ANCHOR,PASS,SUCCESS,,,PENALTY_AREA,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_passes_into_the_penalty_box_accurate
Incomplete passes into the box,,ACTION_ANCHOR,PASS,FAILURE,,,PENALTY_AREA,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_incomplete_passes_into_the_box
Long passes,,ACTION_ANCHOR,PASS,,,LONG,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_long_passes
Incomplete long passes,,ACTION_ANCHOR,PASS,FAILURE,,LONG,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_incomplete_long_passes
Key passes accurate,,ACTION_ANCHOR,PASS,SUCCESS,,,,,,,,,,,KEY_PASS_CANDIDATE,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_key_passes_accurate
Incomplete key passes,,ACTION_ANCHOR,PASS,FAILURE,,,,,,,,,,,KEY_PASS_CANDIDATE,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_incomplete_key_passes
Passes into offside,,ACTION_ANCHOR,PASS,,,,,,,,,,,,,OFFSIDE_CANDIDATE,,ACTION_CANDIDATE_REVIEW_LIMITED,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_passes_into_offside
Carry,,ACTION_ANCHOR,CARRY,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_carry
Ball recoveries,,ACTION_ANCHOR,RECOVERY,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_ball_recoveries
Ball recoveries in opponent's half,,ACTION_ANCHOR,RECOVERY,,,,OPPONENT_HALF,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_ball_recoveries_in_opponent_s_half
Lost balls,,ACTION_ANCHOR,TURNOVER,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_lost_balls
Lost balls in own half,,ACTION_ANCHOR,TURNOVER,,,,OWN_HALF,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_lost_balls_in_own_half
Clearances,,ACTION_ANCHOR,CLEARANCE,,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_clearances
Challenges won,,ACTION_ANCHOR,DUEL,WON,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_challenges_won
Challenges unsuccessful,,ACTION_ANCHOR,DUEL,LOST,,,,,,,,,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_challenges_unsuccessful
Aerial challenges won,,ACTION_ANCHOR,DUEL,WON,,,,,,,,AERIAL,,,,,,ACTION_CANDIDATE_ELIGIBLE,REVIEWED_EXACT_CANDIDATE,REVIEWED_CANDIDATE,plvs_v2_aerial_challenges_won
