action,count
paslar adresi bulanlar,824
set hücumu oyunu,496
başarılı i̇leri paslar,298
i̇sabetli i̇lerletici paslar,144
i̇sabetsiz paslar,125
top kaybı,115
başarısız i̇kili mücadeleler,105
başarılı i̇kili mücadeleler,104
kontra atak oyunu,99
geri kazanılan toplar,96
şutla biten set hücumlarında yer alma,91
başarısız i̇leri paslar,80
başarısız i̇lerletici paslar,55
top taşıma,46
duran top hücumu oyunu,33
ceza sahasına / i̇sabetli,31
top kayıpları / kendi yarı sahasında,30
rakip sahada geri kazanılan toplar,28
başarılı top kapma,26
başarısız ceza sahasına paslar,25
faul,24
başarılı driplingler,24
başarısız top kapma,23
yapılan fauller,22
uzun paslar,21
şutle biten kontra ataklarda yer alma,21
kaybedilen hava topu mücadeleleri,20
başarılı hava topu mücadeleleri,19
i̇sabetsiz ortalar,19
başarısız driplingler,18
