team_hint,file,sheet,metric,col,value,metric_norm,col_norm
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Index,Seçildi: 19,210.0,index,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Index,2025/2026,177.0,index,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Index,Seçildi: 10,211.0,index,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Index,Seçildi: 10.1,179.0,index,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Gol,Seçildi: 19,2.26,gol,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Gol,2025/2026,0.81,gol,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Gol,Seçildi: 10,2.3,gol,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Gol,Seçildi: 10.1,1.0,gol,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Pozisyonlar,Seçildi: 19,8.16,pozisyonlar,seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Pozisyonlar,2025/2026,5.05,pozisyonlar,2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Pozisyonlar,Seçildi: 10,9.5,pozisyonlar,seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,Pozisyonlar,Seçildi: 10.1,5.2,pozisyonlar,seçildi: 10.1
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Chances successful, %",Seçildi: 19,0.2774,"chances successful, %",seçildi: 19
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Chances successful, %",2025/2026,0.1604,"chances successful, %",2025/2026
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Chances successful, %",Seçildi: 10,0.2421,"chances successful, %",seçildi: 10
Galatasaray,01.02.2026 - Galatasaray - Comparison.xlsx,Comparison,"Chances successful, %",Seçildi: 10.1,0.1923,"chances successful, %",seçildi: 10.1
