event_id,minute,second,time_sec,team,type,source_file
1,0,0,0.0,UNKNOWN,start of the 1st half,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2625,0,0,0.0,UNKNOWN,goal kicks short (0-10 m.),"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2626,0,0,0.0,UNKNOWN,paslar adresi bulanlar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2627,0,0,0.0,UNKNOWN,paslar adresi bulanlar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2628,0,0,0.0,UNKNOWN,passes forward accurate,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2629,0,0,0.0,UNKNOWN,goal kicks short (0-10 m.),"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2630,0,0,0.0,UNKNOWN,paslar adresi bulanlar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2631,0,0,0.0,UNKNOWN,goal kicks short (0-10 m.),"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2632,0,0,0.0,UNKNOWN,paslar adresi bulanlar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2633,0,0,0.0,UNKNOWN,passes forward accurate,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2634,0,0,0.0,UNKNOWN,goal kicks short (0-10 m.),"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2635,0,0,0.0,UNKNOWN,loss balls,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2636,0,0,0.0,UNKNOWN,i̇sabetsiz paslar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2624,0,0,0.0,UNKNOWN,goal kicks short (0-10 m.),"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2637,0,0,0.0,UNKNOWN,ball recoveries,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2639,0,0,0.0,UNKNOWN,incomplete passes forward,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2640,0,0,0.0,UNKNOWN,loss balls,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
2641,0,0,0.0,UNKNOWN,ofsaytlar,"Fatih Karagümrük 1-3 Galatasaray 24.01.2026, Maçın Tamamı.csv"
